frame_id,timestamp,px,py,pz,qx,qy,qz,qw
13266,1775007410.16752,-0.7533175349235535,0.22939863801002502,-1.5227725505828857,0.0015269442228600383,-0.7552131414413452,-0.0013205615105107427,0.6554761528968811
13267,1775007410.178631,-0.7533151507377625,0.22939689457416534,-1.5227762460708618,0.0015317510114982724,-0.7551993131637573,-0.0013071306748315692,0.6554921269416809
13268,1775007410.1897423,-0.7533134818077087,0.22939558327198029,-1.522769808769226,0.0015446454053744674,-0.7551883459091187,-0.0012874151580035686,0.6555048823356628
13269,1775007410.2008533,-0.7533131837844849,0.22939613461494446,-1.522769808769226,0.001536966417916119,-0.7551788091659546,-0.001273266738280654,0.6555158495903015
13270,1775007410.2119646,-0.7533087730407715,0.22939544916152954,-1.5227704048156738,0.001534102950245142,-0.7551812529563904,-0.001273597707040608,0.6555130481719971
13271,1775007410.2230756,-0.7533078193664551,0.2293897271156311,-1.5227701663970947,0.0015290830051526427,-0.7551791071891785,-0.0012551790568977594,0.6555154919624329
13272,1775007410.2341866,-0.7533058524131775,0.2293851524591446,-1.5227659940719604,0.001538206939585507,-0.7551780343055725,-0.0012482150923460722,0.6555168628692627
13273,1775007410.245298,-0.7533143758773804,0.22938312590122223,-1.5227595567703247,0.0015403458382934332,-0.7551878094673157,-0.0012174042640253901,0.6555055379867554
13274,1775007410.256409,-0.7533053755760193,0.22938737273216248,-1.5227808952331543,0.0015093819238245487,-0.7551836967468262,-0.0012629677075892687,0.6555102467536926
13275,1775007410.2675202,-0.7533069252967834,0.22938869893550873,-1.5227888822555542,0.0015251187141984701,-0.7551866769790649,-0.0012706249253824353,0.6555069088935852
13276,1775007410.2786312,-0.7533093094825745,0.22938890755176544,-1.5227802991867065,0.0015435913810506463,-0.7551966905593872,-0.0012817789101973176,0.6554951667785645
13277,1775007410.2897422,-0.7533092498779297,0.22938913106918335,-1.5227822065353394,0.001497136545367539,-0.7551990151405334,-0.0012656727340072393,0.6554926633834839
13278,1775007410.3008535,-0.7533050775527954,0.22938603162765503,-1.522782564163208,0.0014840502990409732,-0.7551928758621216,-0.0012589246034622192,0.6554997563362122
13279,1775007410.3119645,-0.7533103823661804,0.22938929498195648,-1.5227854251861572,0.0014817059272900224,-0.7551926970481873,-0.0012572463601827621,0.6554999351501465
13280,1775007410.3230755,-0.7533147931098938,0.22939716279506683,-1.5227845907211304,0.0014945449074730277,-0.7551955580711365,-0.0012713054893538356,0.6554967761039734
13281,1775007410.3341868,-0.7533067464828491,0.22938652336597443,-1.5227768421173096,0.001463317428715527,-0.7552058100700378,-0.001269834814593196,0.6554849147796631
13282,1775007410.3452978,-0.7533074617385864,0.22939053177833557,-1.522773265838623,0.001476343022659421,-0.7552038431167603,-0.0012761688558384776,0.6554871201515198
13283,1775007410.356409,-0.7532942295074463,0.22938387095928192,-1.5227547883987427,0.001458657905459404,-0.7552379369735718,-0.0013153866166248918,0.655447781085968
13284,1775007410.36752,-0.7532998919487,0.22938859462738037,-1.5227588415145874,0.0014471937902271748,-0.7552478909492493,-0.001352561404928565,0.6554362773895264
13285,1775007410.378631,-0.7533143758773804,0.2293931245803833,-1.5227445363998413,0.0013959864154458046,-0.7553138136863708,-0.0013225573347881436,0.6553605198860168
13286,1775007410.3897424,-0.753307044506073,0.2293880432844162,-1.5227569341659546,0.0014263178454712033,-0.7552512288093567,-0.0013576885685324669,0.6554325222969055
13287,1775007410.4008534,-0.7533015608787537,0.22939088940620422,-1.522773027420044,0.0014090952463448048,-0.7552130818367004,-0.0013778459979221225,0.6554763913154602
13288,1775007410.4119644,-0.7533033490180969,0.22939659655094147,-1.5227725505828857,0.0014439208898693323,-0.7552221417427063,-0.0013967627892270684,0.6554657816886902
13289,1775007410.4230757,-0.753304660320282,0.22940412163734436,-1.5227704048156738,0.0014599993592128158,-0.7552173733711243,-0.001407707342877984,0.6554712653160095
13290,1775007410.4341867,-0.753282368183136,0.22939185798168182,-1.5227506160736084,0.0014835966285318136,-0.7551887035369873,-0.0013550795847550035,0.6555043458938599
13291,1775007410.445298,-0.7532792091369629,0.22938548028469086,-1.5227466821670532,0.0014702912885695696,-0.7551766633987427,-0.0013513286830857396,0.6555182337760925
13292,1775007410.456409,-0.7532826662063599,0.2293827384710312,-1.5227389335632324,0.0014885121490806341,-0.7551703453063965,-0.0013515594182536006,0.6555256247520447
13293,1775007410.46752,-0.7532792091369629,0.22938382625579834,-1.5227432250976562,0.0015227884287014604,-0.7551807165145874,-0.0013559364015236497,0.6555135846138
13294,1775007410.4786313,-0.7532877326011658,0.22939719259738922,-1.5227631330490112,0.0015090721426531672,-0.755183219909668,-0.0013792086392641068,0.655510663986206
13295,1775007410.4897423,-0.753297746181488,0.2293950617313385,-1.5227502584457397,0.0014921297552064061,-0.7552098035812378,-0.0013706737663596869,0.6554800868034363
13296,1775007410.5008533,-0.7532966136932373,0.22938700020313263,-1.5227447748184204,0.001510024070739746,-0.7552134990692139,-0.001377273933030665,0.6554756760597229
13297,1775007410.5119646,-0.7532960176467896,0.2293858528137207,-1.5227501392364502,0.001499426318332553,-0.7552135586738586,-0.0013853484997525811,0.6554756760597229
13298,1775007410.5230756,-0.7532981634140015,0.22938953340053558,-1.5227594375610352,0.0015077493153512478,-0.755231499671936,-0.0013728842604905367,0.6554549932479858
13299,1775007410.5341868,-0.753299355506897,0.22938336431980133,-1.5227481126785278,0.0015173845458775759,-0.7552205324172974,-0.0013800874585285783,0.6554675698280334
13300,1775007410.5452979,-0.753297746181488,0.2293849140405655,-1.522753357887268,0.0014959602849557996,-0.7551937103271484,-0.001383854541927576,0.6554985046386719
13301,1775007410.556409,-0.7532943487167358,0.2293773889541626,-1.5227550268173218,0.0015131012769415975,-0.755188524723053,-0.0014015347696840763,0.6555044054985046
13302,1775007410.5675201,-0.7532929182052612,0.22938187420368195,-1.522754430770874,0.0015546352369710803,-0.7551882863044739,-0.0014270711690187454,0.655504584312439
13303,1775007410.5786312,-0.7532937526702881,0.2293875515460968,-1.5227633714675903,0.001551931374706328,-0.7551753520965576,-0.0014255994465202093,0.6555194854736328
13304,1775007410.5897422,-0.7532907724380493,0.22937941551208496,-1.5227593183517456,0.0015378856332972646,-0.7551711201667786,-0.0014201989397406578,0.6555243730545044
13305,1775007410.6008534,-0.7533006072044373,0.22939036786556244,-1.522752046585083,0.001543091144412756,-0.7551918029785156,-0.0014047896256670356,0.655500590801239
13306,1775007410.6119645,-0.7532986402511597,0.2293897420167923,-1.5227442979812622,0.0015849489718675613,-0.7552041411399841,-0.001408816548064351,0.6554862260818481
13307,1775007410.6230757,-0.753300130367279,0.2293889820575714,-1.5227566957473755,0.0015765982680022717,-0.7551937103271484,-0.0014159957645460963,0.6554982662200928
13308,1775007410.6341867,-0.7533047199249268,0.22939197719097137,-1.5227619409561157,0.001613631029613316,-0.7552030086517334,-0.001378183951601386,0.6554874777793884
